epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population_2019,is_last,is_repeated
22,2020-05-24,4,PB,Água Branca,2500106,city,1,9.77135,0,0,0,0.0,10234,False,True
22,2020-05-24,6,PB,Aguiar,2500205,city,1,17.7305,0,0,0,0.0,5640,False,True
22,2020-05-24,31,PB,Alagoa Grande,2500304,city,37,129.84278,0,1,0,0.027,28496,False,True
22,2020-05-24,33,PB,Alagoa Nova,2500403,city,9,43.16754,0,1,0,0.1111,20849,False,True
22,2020-05-24,21,PB,Alagoinha,2500502,city,48,331.2858,0,0,0,0.0,14489,False,True
22,2020-05-24,26,PB,Alhandra,2500601,city,69,352.25648,0,4,0,0.058,19588,False,True
22,2020-05-24,10,PB,Amparo,2500734,city,11,491.51028,0,0,0,0.0,2238,False,True
22,2020-05-24,5,PB,Aparecida,2500775,city,1,11.98035,0,0,0,0.0,8347,False,True
22,2020-05-24,27,PB,Araçagi,2500809,city,29,170.71878,0,0,0,0.0,16987,False,True
22,2020-05-24,10,PB,Arara,2500908,city,6,44.54343,0,0,0,0.0,13470,False,True
22,2020-05-24,3,PB,Araruna,2501005,city,3,14.76959,0,0,0,0.0,20312,False,True
22,2020-05-24,30,PB,Areia,2501104,city,37,162.14558,0,1,0,0.027,22819,False,True
22,2020-05-24,12,PB,Areial,2501203,city,6,85.73878,0,0,0,0.0,6998,False,True
22,2020-05-24,15,PB,Aroeiras,2501302,city,13,67.87448,0,0,0,0.0,19153,False,True
22,2020-05-24,18,PB,Baía da Traição,2501401,city,29,322.47303,0,0,0,0.0,8993,False,True
22,2020-05-24,17,PB,Bananeiras,2501500,city,15,70.36307,0,0,0,0.0,21318,False,True
22,2020-05-24,15,PB,Barra de Santana,2501575,city,9,107.66838,0,0,0,0.0,8359,False,True
22,2020-05-24,4,PB,Barra de Santa Rosa,2501609,city,1,6.50026,0,0,0,0.0,15384,False,True
22,2020-05-24,33,PB,Barra de São Miguel,2501708,city,1,16.56726,0,0,0,0.0,6036,False,True
22,2020-05-24,47,PB,Bayeux,2501807,city,191,197.15111,0,13,0,0.0681,96880,False,True
22,2020-05-24,13,PB,Belém,2501906,city,13,73.54605,0,0,0,0.0,17676,False,True
22,2020-05-24,7,PB,Belém do Brejo do Cruz,2502003,city,1,13.62027,0,0,0,0.0,7342,False,True
22,2020-05-24,9,PB,Boa Vista,2502151,city,3,42.54716,0,0,0,0.0,7051,False,True
22,2020-05-24,35,PB,Bom Jesus,2502201,city,1,39.04725,0,0,0,0.0,2561,False,True
22,2020-05-24,30,PB,Boqueirão,2502508,city,6,33.70029,0,1,0,0.1667,17804,False,True
22,2020-05-24,18,PB,Borborema,2502706,city,1,19.00057,0,0,0,0.0,5263,False,True
22,2020-05-24,31,PB,Brejo do Cruz,2502805,city,5,35.40575,0,1,0,0.2,14122,False,True
22,2020-05-24,31,PB,Caaporã,2503001,city,209,957.4858,0,3,0,0.0144,21828,False,True
22,2020-05-24,3,PB,Cabaceiras,2503100,city,2,35.64427,0,0,0,0.0,5611,False,True
22,2020-05-24,54,PB,Cabedelo,2503209,city,288,425.18011,0,6,0,0.0208,67736,False,True
22,2020-05-24,6,PB,Cachoeira dos Índios,2503308,city,3,29.28544,0,1,0,0.3333,10244,False,True
22,2020-05-24,9,PB,Cacimba de Dentro,2503506,city,11,64.00186,0,0,0,0.0,17187,False,True
22,2020-05-24,3,PB,Cacimbas,2503555,city,2,27.88234,0,0,0,0.0,7173,False,True
22,2020-05-24,24,PB,Caiçara,2503605,city,18,249.96528,0,1,0,0.0556,7201,False,True
22,2020-05-24,34,PB,Cajazeiras,2503704,city,44,70.97576,0,4,0,0.0909,61993,False,True
22,2020-05-24,17,PB,Cajazeirinhas,2503753,city,1,31.31851,0,0,0,0.0,3193,False,True
22,2020-05-24,7,PB,Caldas Brandão,2503803,city,8,133.02295,0,0,0,0.0,6014,False,True
22,2020-05-24,59,PB,Campina Grande,2504009,city,713,174.01661,0,10,0,0.014,409731,False,True
22,2020-05-24,20,PB,Capim,2504033,city,22,337.26813,0,1,0,0.0455,6523,False,True
22,2020-05-24,3,PB,Carrapateira,2504108,city,1,37.60812,0,0,0,0.0,2659,False,True
22,2020-05-24,24,PB,Casserengue,2504157,city,2,26.78093,0,0,0,0.0,7468,False,True
22,2020-05-24,27,PB,Catingueira,2504207,city,2,40.5515,0,0,0,0.0,4932,False,True
22,2020-05-24,8,PB,Catolé do Rocha,2504306,city,12,39.28501,0,0,0,0.0,30546,False,True
22,2020-05-24,9,PB,Caturité,2504355,city,4,82.44023,0,0,0,0.0,4852,False,True
22,2020-05-24,11,PB,Conceição,2504405,city,2,10.5363,0,0,0,0.0,18982,False,True
22,2020-05-24,19,PB,Condado,2504504,city,40,601.14217,0,0,0,0.0,6654,False,True
22,2020-05-24,34,PB,Conde,2504603,city,62,251.31739,0,2,0,0.0323,24670,False,True
22,2020-05-24,37,PB,Congo,2504702,city,11,229.83702,0,1,0,0.0909,4786,False,True
22,2020-05-24,33,PB,Coremas,2504801,city,12,77.69505,0,0,0,0.0,15445,False,True
22,2020-05-24,31,PB,Coxixola,2504850,city,4,208.22488,0,0,0,0.0,1921,False,True
22,2020-05-24,34,PB,Cruz do Espírito Santo,2504900,city,86,496.56447,0,6,0,0.0698,17319,False,True
22,2020-05-24,13,PB,Cuité,2505105,city,8,39.33523,0,0,0,0.0,20338,False,True
22,2020-05-24,14,PB,Cuité de Mamanguape,2505238,city,3,47.22178,0,0,0,0.0,6353,False,True
22,2020-05-24,18,PB,Cuitegi,2505204,city,32,470.38071,0,1,0,0.0312,6803,False,True
22,2020-05-24,11,PB,Curral de Cima,2505279,city,3,57.3943,0,0,0,0.0,5227,False,True
22,2020-05-24,2,PB,Damião,2505352,city,1,18.76173,0,0,0,0.0,5330,False,True
22,2020-05-24,3,PB,Desterro,2505402,city,2,24.1051,0,0,0,0.0,8297,False,True
22,2020-05-24,3,PB,Dona Inês,2505709,city,1,9.56663,0,0,0,0.0,10453,False,True
22,2020-05-24,14,PB,Duas Estradas,2505808,city,12,333.70412,0,0,0,0.0,3596,False,True
22,2020-05-24,3,PB,Emas,2505907,city,1,28.39296,0,0,0,0.0,3522,False,True
22,2020-05-24,29,PB,Esperança,2506004,city,40,121.18642,0,0,0,0.0,33007,False,True
22,2020-05-24,5,PB,Fagundes,2506103,city,3,26.65956,0,0,0,0.0,11253,False,True
22,2020-05-24,15,PB,Gado Bravo,2506251,city,15,180.37518,0,1,0,0.0667,8316,False,True
22,2020-05-24,32,PB,Guarabira,2506301,city,399,678.19081,0,3,0,0.0075,58833,False,True
22,2020-05-24,30,PB,Gurinhém,2506400,city,23,162.78576,0,0,0,0.0,14129,False,True
22,2020-05-24,5,PB,Gurjão,2506509,city,3,87.51459,0,0,0,0.0,3428,False,True
22,2020-05-24,6,PB,Ibiara,2506608,city,2,33.7325,0,0,0,0.0,5929,False,True
22,2020-05-24,63,PB,Igaracy,2502607,city,4,65.39153,0,0,0,0.0,6117,False,True
22,2020-05-24,24,PB,Imaculada,2506707,city,5,42.30476,0,0,0,0.0,11819,False,True
22,2020-05-24,15,PB,Ingá,2506806,city,16,88.38314,0,0,0,0.0,18103,False,True
22,2020-05-24,34,PB,Itabaiana,2506905,city,47,192.017,0,1,0,0.0213,24477,False,True
22,2020-05-24,31,PB,Itaporanga,2507002,city,4,16.19958,0,1,0,0.25,24692,False,True
22,2020-05-24,33,PB,Itapororoca,2507101,city,21,112.51607,0,1,0,0.0476,18664,False,True
22,2020-05-24,13,PB,Itatuba,2507200,city,25,228.06057,0,1,0,0.04,10962,False,True
22,2020-05-24,11,PB,Jacaraú,2507309,city,7,48.50669,0,0,0,0.0,14431,False,True
22,2020-05-24,6,PB,Jericó,2507408,city,1,12.92157,0,0,0,0.0,7739,False,True
22,2020-05-24,68,PB,João Pessoa,2507507,city,2454,303.33183,0,91,0,0.0371,809015,False,True
22,2020-05-24,17,PB,Joca Claudino,2513653,city,1,37.93627,0,0,0,0.0,2636,False,True
22,2020-05-24,14,PB,Juarez Távora,2507606,city,12,151.20968,0,0,0,0.0,7936,False,True
22,2020-05-24,19,PB,Juazeirinho,2507705,city,40,220.13098,0,0,0,0.0,18171,False,True
22,2020-05-24,52,PB,Junco do Seridó,2507804,city,5,69.93007,0,1,0,0.2,7150,False,True
22,2020-05-24,18,PB,Juripiranga,2507903,city,46,427.66828,0,0,0,0.0,10756,False,True
22,2020-05-24,6,PB,Juru,2508000,city,2,20.26959,0,0,0,0.0,9867,False,True
22,2020-05-24,5,PB,Lagoa,2508109,city,3,64.2949,0,0,0,0.0,4666,False,True
22,2020-05-24,14,PB,Lagoa de Dentro,2508208,city,4,51.82018,0,0,0,0.0,7719,False,True
22,2020-05-24,28,PB,Lagoa Seca,2508307,city,25,90.89917,0,2,0,0.08,27503,False,True
22,2020-05-24,9,PB,Lastro,2508406,city,1,36.53635,0,0,0,0.0,2737,False,True
22,2020-05-24,9,PB,Logradouro,2508554,city,7,161.58818,0,0,0,0.0,4332,False,True
22,2020-05-24,27,PB,Lucena,2508604,city,40,305.8104,0,0,0,0.0,13080,False,True
22,2020-05-24,3,PB,Mãe d'Água,2508703,city,2,49.88775,0,0,0,0.0,4009,False,True
22,2020-05-24,14,PB,Malta,2508802,city,7,121.54888,0,0,0,0.0,5759,False,True
22,2020-05-24,25,PB,Mamanguape,2508901,city,42,93.57872,0,0,0,0.0,44882,False,True
22,2020-05-24,5,PB,Manaíra,2509008,city,2,18.2565,0,0,0,0.0,10955,False,True
22,2020-05-24,28,PB,Mari,2509107,city,64,293.08055,0,2,0,0.0312,21837,False,True
22,2020-05-24,30,PB,Marizópolis,2509156,city,4,60.45036,0,1,0,0.25,6617,False,True
22,2020-05-24,19,PB,Massaranduba,2509206,city,16,114.95905,0,0,0,0.0,13918,False,True
22,2020-05-24,21,PB,Mataraca,2509305,city,12,142.28124,0,0,0,0.0,8434,False,True
22,2020-05-24,20,PB,Matinhas,2509339,city,5,111.11111,0,0,0,0.0,4500,False,True
22,2020-05-24,5,PB,Mato Grosso,2509370,city,3,103.16369,0,0,0,0.0,2908,False,True
22,2020-05-24,15,PB,Maturéia,2509396,city,7,106.56112,0,0,0,0.0,6569,False,True
22,2020-05-24,13,PB,Mogeiro,2509404,city,1,7.52785,0,1,0,1.0,13284,False,True
22,2020-05-24,6,PB,Montadas,2509503,city,3,52.91939,0,0,0,0.0,5669,False,True
22,2020-05-24,24,PB,Monteiro,2509701,city,17,51.17091,0,0,0,0.0,33222,False,True
22,2020-05-24,22,PB,Mulungu,2509800,city,9,90.89073,0,0,0,0.0,9902,False,True
22,2020-05-24,14,PB,Natuba,2509909,city,7,66.96002,0,0,0,0.0,10454,False,True
22,2020-05-24,21,PB,Nova Floresta,2510105,city,1,9.40026,0,0,0,0.0,10638,False,True
22,2020-05-24,12,PB,Nova Olinda,2510204,city,1,16.80955,0,0,0,0.0,5949,False,True
22,2020-05-24,11,PB,Olho d'Água,2510402,city,1,15.32332,0,0,0,0.0,6526,False,True
22,2020-05-24,3,PB,Ouro Velho,2510600,city,1,32.90556,0,0,0,0.0,3039,False,True
22,2020-05-24,9,PB,Passagem,2510709,city,3,124.01819,0,0,0,0.0,2419,False,True
22,2020-05-24,56,PB,Patos,2510808,city,374,347.56749,0,17,0,0.0455,107605,False,True
22,2020-05-24,7,PB,Paulista,2510907,city,8,64.79307,0,0,0,0.0,12347,False,True
22,2020-05-24,31,PB,Pedras de Fogo,2511202,city,124,435.72985,0,3,0,0.0242,28458,False,True
22,2020-05-24,23,PB,Piancó,2511301,city,10,62.2084,0,2,0,0.2,16075,False,True
22,2020-05-24,12,PB,Picuí,2511400,city,3,16.04021,0,0,0,0.0,18703,False,True
22,2020-05-24,24,PB,Pilar,2511509,city,25,209.78434,0,0,0,0.0,11917,False,True
22,2020-05-24,20,PB,Pilões,2511608,city,5,75.35795,0,0,0,0.0,6635,False,True
22,2020-05-24,24,PB,Pilõezinhos,2511707,city,19,381.8328,0,0,0,0.0,4976,False,True
22,2020-05-24,21,PB,Pirpirituba,2511806,city,10,94.52689,0,0,0,0.0,10579,False,True
22,2020-05-24,24,PB,Pitimbu,2511905,city,57,298.97718,0,2,0,0.0351,19065,False,True
22,2020-05-24,18,PB,Pocinhos,2512002,city,5,26.93385,0,0,0,0.0,18564,False,True
22,2020-05-24,39,PB,Pombal,2512101,city,21,64.02244,0,0,0,0.0,32801,False,True
22,2020-05-24,25,PB,Princesa Isabel,2512309,city,5,21.41786,0,0,0,0.0,23345,False,True
22,2020-05-24,15,PB,Puxinanã,2512408,city,12,87.7193,0,0,0,0.0,13680,False,True
22,2020-05-24,37,PB,Queimadas,2512507,city,29,65.95856,0,0,0,0.0,43967,False,True
22,2020-05-24,12,PB,Quixaba,2512606,city,5,255.62372,0,0,0,0.0,1956,False,True
22,2020-05-24,20,PB,Remígio,2512705,city,28,142.70425,0,0,0,0.0,19621,False,True
22,2020-05-24,18,PB,Riachão do Bacamarte,2512754,city,49,1083.83101,0,0,0,0.0,4521,False,True
22,2020-05-24,38,PB,Riachão do Poço,2512762,city,1,22.17787,0,1,0,1.0,4509,False,True
22,2020-05-24,3,PB,Riacho de Santo Antônio,2512788,city,3,154.00411,0,0,0,0.0,1948,False,True
22,2020-05-24,26,PB,Riacho dos Cavalos,2512804,city,2,23.45766,0,0,0,0.0,8526,False,True
22,2020-05-24,25,PB,Rio Tinto,2512903,city,26,107.54467,0,1,0,0.0385,24176,False,True
22,2020-05-24,2,PB,Salgadinho,2513000,city,1,25.74003,0,0,0,0.0,3885,False,True
22,2020-05-24,11,PB,Salgado de São Félix,2513109,city,13,107.08402,0,0,0,0.0,12140,False,True
22,2020-05-24,3,PB,Santa Cecília,2513158,city,1,15.24855,0,0,0,0.0,6558,False,True
22,2020-05-24,26,PB,Santa Helena,2513307,city,1,16.98081,0,0,0,0.0,5889,False,True
22,2020-05-24,19,PB,Santa Luzia,2513406,city,24,156.02652,0,2,0,0.0833,15382,False,True
22,2020-05-24,48,PB,Santa Rita,2513703,city,424,310.42713,0,48,0,0.1132,136586,False,True
22,2020-05-24,14,PB,Santa Teresinha,2513802,city,5,109.33742,0,0,0,0.0,4573,False,True
22,2020-05-24,3,PB,São Bentinho,2513927,city,3,66.23979,0,0,0,0.0,4529,False,True
22,2020-05-24,38,PB,São Bento,2513901,city,50,146.92486,0,3,0,0.06,34031,False,True
22,2020-05-24,2,PB,São Francisco,2513984,city,1,29.48113,0,0,0,0.0,3392,False,True
22,2020-05-24,3,PB,São João do Cariri,2514008,city,1,23.81519,0,0,0,0.0,4199,False,True
22,2020-05-24,41,PB,São João do Rio do Peixe,2500700,city,11,60.9959,0,0,0,0.0,18034,False,True
22,2020-05-24,5,PB,São João do Tigre,2514107,city,1,22.6142,0,0,0,0.0,4422,False,True
22,2020-05-24,7,PB,São José da Lagoa Tapada,2514206,city,13,170.38008,0,0,0,0.0,7630,False,True
22,2020-05-24,9,PB,São José de Caiana,2514305,city,8,125.80594,0,0,0,0.0,6359,False,True
22,2020-05-24,24,PB,São José de Espinharas,2514404,city,2,42.71679,0,0,0,0.0,4682,False,True
22,2020-05-24,26,PB,São José de Piranhas,2514503,city,4,19.75211,0,1,0,0.25,20251,False,True
22,2020-05-24,27,PB,São José do Bonfim,2514602,city,6,168.68147,0,0,0,0.0,3557,False,True
22,2020-05-24,14,PB,São José do Sabugi,2514701,city,68,1642.11543,0,0,0,0.0,4141,False,True
22,2020-05-24,6,PB,São José dos Cordeiros,2514800,city,3,82.69019,0,0,0,0.0,3628,False,True
22,2020-05-24,15,PB,São José dos Ramos,2514453,city,4,67.14789,0,0,0,0.0,5957,False,True
22,2020-05-24,7,PB,São Mamede,2514909,city,6,77.67996,0,0,0,0.0,7724,False,True
22,2020-05-24,18,PB,São Miguel de Taipu,2515005,city,12,162.86645,0,1,0,0.0833,7368,False,True
22,2020-05-24,20,PB,São Sebastião de Lagoa de Roça,2515104,city,9,77.18034,0,2,0,0.2222,11661,False,True
22,2020-05-24,10,PB,São Vicente do Seridó,2515401,city,8,74.24594,0,0,0,0.0,10775,False,True
22,2020-05-24,43,PB,Sapé,2515302,city,126,239.42993,0,4,0,0.0317,52625,False,True
22,2020-05-24,52,PB,Serra Branca,2515500,city,2,14.59961,0,0,0,0.0,13699,False,True
22,2020-05-24,23,PB,Serra da Raiz,2515609,city,7,222.36341,0,0,0,0.0,3148,False,True
22,2020-05-24,25,PB,Serra Redonda,2515807,city,12,170.43034,0,0,0,0.0,7041,False,True
22,2020-05-24,12,PB,Serraria,2515906,city,5,81.98065,0,1,0,0.2,6099,False,True
22,2020-05-24,17,PB,Sertãozinho,2515930,city,7,139.33121,0,0,0,0.0,5024,False,True
22,2020-05-24,18,PB,Sobrado,2515971,city,8,102.78813,0,1,0,0.125,7783,False,True
22,2020-05-24,12,PB,Solânea,2516003,city,23,87.09812,0,0,0,0.0,26407,False,True
22,2020-05-24,15,PB,Soledade,2516102,city,4,26.68624,0,0,0,0.0,14989,False,True
22,2020-05-24,59,PB,Sousa,2516201,city,100,144.00092,0,1,0,0.01,69444,False,True
22,2020-05-24,5,PB,Sumé,2516300,city,6,35.36485,0,0,0,0.0,16966,False,True
22,2020-05-24,15,PB,Tacima,2516409,city,9,82.48557,0,1,0,0.1111,10911,False,True
22,2020-05-24,41,PB,Taperoá,2516508,city,26,169.09469,0,1,0,0.0385,15376,False,True
22,2020-05-24,4,PB,Tavares,2516607,city,4,27.16284,0,0,0,0.0,14726,False,True
22,2020-05-24,17,PB,Teixeira,2516706,city,12,79.15045,0,0,0,0.0,15161,False,True
22,2020-05-24,21,PB,Uiraúna,2516904,city,4,26.24328,0,1,0,0.25,15242,False,True
22,2020-05-24,26,PB,Umbuzeiro,2517001,city,17,171.59584,0,1,0,0.0588,9907,False,True
22,2020-05-24,4,PB,Várzea,2517100,city,1,35.58719,0,0,0,0.0,2810,False,True
22,2020-05-24,5,PB,Vieirópolis,2517209,city,2,37.39716,0,0,0,0.0,5348,False,True
22,2020-05-24,12,PB,Vista Serrana,2505501,city,1,26.32965,0,0,0,0.0,3798,False,True
21,2020-05-23,3,PB,Água Branca,2500106,city,1,9.77135,0,0,0,0.0,10234,True,False
21,2020-05-23,5,PB,Aguiar,2500205,city,1,17.7305,0,0,0,0.0,5640,True,False
21,2020-05-23,30,PB,Alagoa Grande,2500304,city,37,129.84278,2,1,0,0.027,28496,True,False
21,2020-05-23,32,PB,Alagoa Nova,2500403,city,9,43.16754,1,1,0,0.1111,20849,True,False
21,2020-05-23,20,PB,Alagoinha,2500502,city,48,331.2858,1,0,0,0.0,14489,True,False
21,2020-05-23,25,PB,Alhandra,2500601,city,69,352.25648,0,4,0,0.058,19588,True,False
21,2020-05-23,9,PB,Amparo,2500734,city,11,491.51028,0,0,0,0.0,2238,True,False
21,2020-05-23,4,PB,Aparecida,2500775,city,1,11.98035,0,0,0,0.0,8347,True,False
21,2020-05-23,26,PB,Araçagi,2500809,city,29,170.71878,0,0,0,0.0,16987,True,False
21,2020-05-23,9,PB,Arara,2500908,city,6,44.54343,0,0,0,0.0,13470,True,False
21,2020-05-23,2,PB,Araruna,2501005,city,3,14.76959,2,0,0,0.0,20312,True,False
21,2020-05-23,29,PB,Areia,2501104,city,37,162.14558,0,1,1,0.027,22819,True,False
21,2020-05-23,11,PB,Areial,2501203,city,6,85.73878,2,0,0,0.0,6998,True,False
21,2020-05-23,14,PB,Aroeiras,2501302,city,13,67.87448,0,0,0,0.0,19153,True,False
21,2020-05-23,17,PB,Baía da Traição,2501401,city,29,322.47303,0,0,0,0.0,8993,True,False
21,2020-05-23,16,PB,Bananeiras,2501500,city,15,70.36307,1,0,0,0.0,21318,True,False
21,2020-05-23,14,PB,Barra de Santana,2501575,city,9,107.66838,0,0,0,0.0,8359,True,False
21,2020-05-23,3,PB,Barra de Santa Rosa,2501609,city,1,6.50026,0,0,0,0.0,15384,True,False
21,2020-05-23,32,PB,Barra de São Miguel,2501708,city,1,16.56726,0,0,0,0.0,6036,True,False
21,2020-05-23,46,PB,Bayeux,2501807,city,191,197.15111,0,13,2,0.0681,96880,True,False
21,2020-05-23,12,PB,Belém,2501906,city,13,73.54605,0,0,0,0.0,17676,True,False
21,2020-05-23,6,PB,Belém do Brejo do Cruz,2502003,city,1,13.62027,0,0,0,0.0,7342,True,False
21,2020-05-23,8,PB,Boa Vista,2502151,city,3,42.54716,0,0,0,0.0,7051,True,False
21,2020-05-23,34,PB,Bom Jesus,2502201,city,1,39.04725,0,0,0,0.0,2561,True,False
21,2020-05-23,29,PB,Boqueirão,2502508,city,6,33.70029,1,1,0,0.1667,17804,True,False
21,2020-05-23,17,PB,Borborema,2502706,city,1,19.00057,0,0,0,0.0,5263,True,False
21,2020-05-23,30,PB,Brejo do Cruz,2502805,city,5,35.40575,0,1,0,0.2,14122,True,False
21,2020-05-23,30,PB,Caaporã,2503001,city,209,957.4858,37,3,1,0.0144,21828,True,False
21,2020-05-23,2,PB,Cabaceiras,2503100,city,2,35.64427,0,0,0,0.0,5611,True,False
21,2020-05-23,53,PB,Cabedelo,2503209,city,288,425.18011,0,6,0,0.0208,67736,True,False
21,2020-05-23,5,PB,Cachoeira dos Índios,2503308,city,3,29.28544,1,1,0,0.3333,10244,True,False
21,2020-05-23,8,PB,Cacimba de Dentro,2503506,city,11,64.00186,0,0,0,0.0,17187,True,False
21,2020-05-23,2,PB,Cacimbas,2503555,city,2,27.88234,0,0,0,0.0,7173,True,False
21,2020-05-23,23,PB,Caiçara,2503605,city,18,249.96528,5,1,0,0.0556,7201,True,False
21,2020-05-23,33,PB,Cajazeiras,2503704,city,44,70.97576,1,4,2,0.0909,61993,True,False
21,2020-05-23,16,PB,Cajazeirinhas,2503753,city,1,31.31851,0,0,0,0.0,3193,True,False
21,2020-05-23,6,PB,Caldas Brandão,2503803,city,8,133.02295,0,0,0,0.0,6014,True,False
21,2020-05-23,58,PB,Campina Grande,2504009,city,713,174.01661,123,10,0,0.014,409731,True,False
21,2020-05-23,19,PB,Capim,2504033,city,22,337.26813,2,1,0,0.0455,6523,True,False
21,2020-05-23,2,PB,Carrapateira,2504108,city,1,37.60812,0,0,0,0.0,2659,True,False
21,2020-05-23,23,PB,Casserengue,2504157,city,2,26.78093,1,0,0,0.0,7468,True,False
21,2020-05-23,26,PB,Catingueira,2504207,city,2,40.5515,0,0,0,0.0,4932,True,False
21,2020-05-23,7,PB,Catolé do Rocha,2504306,city,12,39.28501,0,0,0,0.0,30546,True,False
21,2020-05-23,8,PB,Caturité,2504355,city,4,82.44023,0,0,0,0.0,4852,True,False
21,2020-05-23,10,PB,Conceição,2504405,city,2,10.5363,0,0,0,0.0,18982,True,False
21,2020-05-23,18,PB,Condado,2504504,city,40,601.14217,10,0,0,0.0,6654,True,False
21,2020-05-23,33,PB,Conde,2504603,city,62,251.31739,0,2,0,0.0323,24670,True,False
21,2020-05-23,36,PB,Congo,2504702,city,11,229.83702,0,1,0,0.0909,4786,True,False
21,2020-05-23,32,PB,Coremas,2504801,city,12,77.69505,0,0,0,0.0,15445,True,False
21,2020-05-23,30,PB,Coxixola,2504850,city,4,208.22488,0,0,0,0.0,1921,True,False
21,2020-05-23,33,PB,Cruz do Espírito Santo,2504900,city,86,496.56447,0,6,1,0.0698,17319,True,False
21,2020-05-23,12,PB,Cuité,2505105,city,8,39.33523,7,0,0,0.0,20338,True,False
21,2020-05-23,13,PB,Cuité de Mamanguape,2505238,city,3,47.22178,0,0,0,0.0,6353,True,False
21,2020-05-23,17,PB,Cuitegi,2505204,city,32,470.38071,3,1,0,0.0312,6803,True,False
21,2020-05-23,10,PB,Curral de Cima,2505279,city,3,57.3943,0,0,0,0.0,5227,True,False
21,2020-05-23,1,PB,Damião,2505352,city,1,18.76173,1,0,0,0.0,5330,True,False
21,2020-05-23,2,PB,Desterro,2505402,city,2,24.1051,0,0,0,0.0,8297,True,False
21,2020-05-23,2,PB,Dona Inês,2505709,city,1,9.56663,0,0,0,0.0,10453,True,False
21,2020-05-23,13,PB,Duas Estradas,2505808,city,12,333.70412,5,0,0,0.0,3596,True,False
21,2020-05-23,2,PB,Emas,2505907,city,1,28.39296,0,0,0,0.0,3522,True,False
21,2020-05-23,28,PB,Esperança,2506004,city,40,121.18642,11,0,0,0.0,33007,True,False
21,2020-05-23,4,PB,Fagundes,2506103,city,3,26.65956,0,0,0,0.0,11253,True,False
21,2020-05-23,14,PB,Gado Bravo,2506251,city,15,180.37518,0,1,0,0.0667,8316,True,False
21,2020-05-23,31,PB,Guarabira,2506301,city,399,678.19081,45,3,0,0.0075,58833,True,False
21,2020-05-23,29,PB,Gurinhém,2506400,city,23,162.78576,0,0,0,0.0,14129,True,False
21,2020-05-23,4,PB,Gurjão,2506509,city,3,87.51459,0,0,0,0.0,3428,True,False
21,2020-05-23,5,PB,Ibiara,2506608,city,2,33.7325,0,0,0,0.0,5929,True,False
21,2020-05-23,62,PB,Igaracy,2502607,city,4,65.39153,0,0,0,0.0,6117,True,False
21,2020-05-23,23,PB,Imaculada,2506707,city,5,42.30476,1,0,0,0.0,11819,True,False
21,2020-05-23,14,PB,Ingá,2506806,city,16,88.38314,1,0,0,0.0,18103,True,False
21,2020-05-23,33,PB,Itabaiana,2506905,city,47,192.017,2,1,0,0.0213,24477,True,False
21,2020-05-23,30,PB,Itaporanga,2507002,city,4,16.19958,0,1,0,0.25,24692,True,False
21,2020-05-23,32,PB,Itapororoca,2507101,city,21,112.51607,1,1,0,0.0476,18664,True,False
21,2020-05-23,12,PB,Itatuba,2507200,city,25,228.06057,0,1,0,0.04,10962,True,False
21,2020-05-23,10,PB,Jacaraú,2507309,city,7,48.50669,0,0,0,0.0,14431,True,False
21,2020-05-23,5,PB,Jericó,2507408,city,1,12.92157,0,0,0,0.0,7739,True,False
21,2020-05-23,67,PB,João Pessoa,2507507,city,2454,303.33183,228,91,2,0.0371,809015,True,False
21,2020-05-23,16,PB,Joca Claudino,2513653,city,1,37.93627,0,0,0,0.0,2636,True,False
21,2020-05-23,13,PB,Juarez Távora,2507606,city,12,151.20968,3,0,0,0.0,7936,True,False
21,2020-05-23,18,PB,Juazeirinho,2507705,city,40,220.13098,2,0,0,0.0,18171,True,False
21,2020-05-23,51,PB,Junco do Seridó,2507804,city,5,69.93007,0,1,0,0.2,7150,True,False
21,2020-05-23,17,PB,Juripiranga,2507903,city,46,427.66828,1,0,0,0.0,10756,True,False
21,2020-05-23,5,PB,Juru,2508000,city,2,20.26959,0,0,0,0.0,9867,True,False
21,2020-05-23,4,PB,Lagoa,2508109,city,3,64.2949,0,0,0,0.0,4666,True,False
21,2020-05-23,13,PB,Lagoa de Dentro,2508208,city,4,51.82018,0,0,0,0.0,7719,True,False
21,2020-05-23,27,PB,Lagoa Seca,2508307,city,25,90.89917,3,2,0,0.08,27503,True,False
21,2020-05-23,8,PB,Lastro,2508406,city,1,36.53635,0,0,0,0.0,2737,True,False
21,2020-05-23,8,PB,Logradouro,2508554,city,7,161.58818,0,0,0,0.0,4332,True,False
21,2020-05-23,26,PB,Lucena,2508604,city,40,305.8104,0,0,0,0.0,13080,True,False
21,2020-05-23,2,PB,Mãe d'Água,2508703,city,2,49.88775,0,0,0,0.0,4009,True,False
21,2020-05-23,13,PB,Malta,2508802,city,7,121.54888,1,0,0,0.0,5759,True,False
21,2020-05-23,24,PB,Mamanguape,2508901,city,42,93.57872,10,0,0,0.0,44882,True,False
21,2020-05-23,4,PB,Manaíra,2509008,city,2,18.2565,0,0,0,0.0,10955,True,False
21,2020-05-23,27,PB,Mari,2509107,city,64,293.08055,4,2,0,0.0312,21837,True,False
